[2026-01-19 15:38:41.413760] Connecting to host 172.16.0.1, port 5001
[2026-01-19 15:38:41.534113] [  5] local 172.16.0.100 port 35406 connected to 172.16.0.1 port 5001
[2026-01-19 15:38:42.573557] [ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[2026-01-19 15:38:42.573599] [  5]   0.00-1.00   sec  3.19 MBytes  26.8 Mbits/sec    0    181 KBytes       
[2026-01-19 15:38:43.573570] [  5]   1.00-2.00   sec  2.62 MBytes  22.0 Mbits/sec    0    300 KBytes       
[2026-01-19 15:38:44.573558] [  5]   2.00-3.00   sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:38:45.573567] [  5]   3.00-4.00   sec  2.25 MBytes  18.9 Mbits/sec  200    238 KBytes       
[2026-01-19 15:38:46.573565] [  5]   4.00-5.00   sec  2.50 MBytes  21.0 Mbits/sec    0    270 KBytes       
[2026-01-19 15:38:47.573611] [  5]   5.00-6.00   sec  2.62 MBytes  22.0 Mbits/sec    0    288 KBytes       
[2026-01-19 15:38:48.573610] [  5]   6.00-7.00   sec  2.62 MBytes  22.0 Mbits/sec    0    298 KBytes       
[2026-01-19 15:38:49.573649] [  5]   7.00-8.00   sec   768 KBytes  6.29 Mbits/sec    0    300 KBytes       
[2026-01-19 15:38:50.573564] [  5]   8.00-9.00   sec   896 KBytes  7.34 Mbits/sec    0    300 KBytes       
[2026-01-19 15:38:51.573608] [  5]   9.00-10.00  sec   896 KBytes  7.34 Mbits/sec    0    300 KBytes       
[2026-01-19 15:38:52.573555] [  5]  10.00-11.00  sec   768 KBytes  6.29 Mbits/sec    0    304 KBytes       
[2026-01-19 15:38:53.573636] [  5]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:38:54.573609] [  5]  12.00-13.00  sec  0.00 Bytes  0.00 bits/sec   15   11.3 KBytes       
[2026-01-19 15:38:55.573563] [  5]  13.00-14.00  sec  1.00 MBytes  8.39 Mbits/sec  199    235 KBytes       
[2026-01-19 15:38:56.573560] [  5]  14.00-15.00  sec   768 KBytes  6.29 Mbits/sec    0    267 KBytes       
[2026-01-19 15:38:57.573557] [  5]  15.00-16.00  sec   896 KBytes  7.34 Mbits/sec    0    288 KBytes       
[2026-01-19 15:38:58.573606] [  5]  16.00-17.00  sec   768 KBytes  6.29 Mbits/sec    0    298 KBytes       
[2026-01-19 15:38:59.573609] [  5]  17.00-18.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2026-01-19 15:39:00.573614] [  5]  18.00-19.00  sec   128 KBytes  1.05 Mbits/sec  178    129 KBytes       
[2026-01-19 15:39:01.573563] [  5]  19.00-20.00  sec   768 KBytes  6.29 Mbits/sec   30    232 KBytes       
[2026-01-19 15:39:02.573559] [  5]  20.00-21.00  sec   640 KBytes  5.24 Mbits/sec    0    264 KBytes       
[2026-01-19 15:39:03.573558] [  5]  21.00-22.00  sec   768 KBytes  6.29 Mbits/sec    0    284 KBytes       
[2026-01-19 15:39:04.573569] [  5]  22.00-23.00  sec   768 KBytes  6.29 Mbits/sec    3    243 KBytes       
[2026-01-19 15:39:05.573568] [  5]  23.00-24.00  sec  1.00 MBytes  8.39 Mbits/sec    0    221 KBytes       
[2026-01-19 15:39:06.573608] [  5]  24.00-25.00  sec   640 KBytes  5.24 Mbits/sec    0    238 KBytes       
[2026-01-19 15:39:07.573644] [  5]  25.00-26.00  sec   384 KBytes  3.15 Mbits/sec    0    245 KBytes       
[2026-01-19 15:39:08.573557] [  5]  26.00-27.00  sec   640 KBytes  5.24 Mbits/sec    0    249 KBytes       
