time,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-19 15:38:42.556120,5,0.00-1.00,2.41,20.2
2026-01-19 15:38:43.556087,5,1.00-2.00,2.40,20.1
2026-01-19 15:38:44.557190,5,2.00-3.00,0.00,0.00
2026-01-19 15:38:45.556065,5,3.00-4.00,2.09,17.5
2026-01-19 15:38:46.556068,5,4.00-5.00,2.59,21.7
2026-01-19 15:38:47.556064,5,5.00-6.00,2.57,21.5
2026-01-19 15:38:48.556107,5,6.00-7.00,2.57,21.6
2026-01-19 15:38:49.556060,5,7.00-8.00,892,7.31
2026-01-19 15:38:50.556052,5,8.00-9.00,829,6.79
2026-01-19 15:38:51.556072,5,9.00-10.00,881,7.22
2026-01-19 15:38:52.556048,5,10.00-11.00,830,6.80
2026-01-19 15:38:53.556276,5,11.00-12.00,0.00,0.00
2026-01-19 15:38:54.556065,5,12.00-13.00,2.83,23.2
2026-01-19 15:38:55.556060,5,13.00-14.00,908,7.44
2026-01-19 15:38:56.556063,5,14.00-15.00,894,7.32
2026-01-19 15:38:57.556076,5,15.00-16.00,865,7.09
2026-01-19 15:38:58.556191,5,16.00-17.00,744,6.09
2026-01-19 15:38:59.556320,5,17.00-18.00,0.00,0.00
2026-01-19 15:39:00.556093,5,18.00-19.00,109,892
2026-01-19 15:39:01.556063,5,19.00-20.00,771,6.31
2026-01-19 15:39:02.556079,5,20.00-21.00,667,5.47
2026-01-19 15:39:03.556063,5,21.00-22.00,752,6.16
2026-01-19 15:39:04.556234,5,22.00-23.00,785,6.43
2026-01-19 15:39:05.556092,5,23.00-24.00,1.00,8.41
2026-01-19 15:39:06.556061,5,24.00-25.00,629,5.15
2026-01-19 15:39:07.556066,5,25.00-26.00,445,3.65
2026-01-19 15:39:08.556082,5,26.00-27.00,581,4.76
2026-01-19 15:39:09.556088,5,27.00-28.00,833,6.82
2026-01-19 15:39:10.556093,5,28.00-29.00,1.22,10.2
2026-01-19 15:39:11.556062,5,29.00-30.00,2.52,21.1
2026-01-19 15:39:12.556064,5,30.00-31.00,747,6.12
2026-01-19 15:39:13.556067,5,31.00-32.00,723,5.92
2026-01-19 15:39:14.556069,5,32.00-33.00,799,6.54
2026-01-19 15:39:15.556066,5,33.00-34.00,792,6.49
2026-01-19 15:39:16.556065,5,34.00-35.00,930,7.62
2026-01-19 15:39:17.556081,5,35.00-36.00,878,7.19
2026-01-19 15:39:18.556061,5,36.00-37.00,1.00,8.40
2026-01-19 15:39:19.556083,5,37.00-38.00,998,8.18
2026-01-19 15:39:20.556080,5,38.00-39.00,2.02,17.0
2026-01-19 15:39:21.556082,5,39.00-40.00,2.42,20.3
