time,Altitude,BatteryVolts,GPSFix,Latitude,Longitude,NumberOfSatellites,Pitch,Roll,VelocityX,VelocityY,VelocityZ,Yaw,destination,icmp_seq,num,pingtime,size(byte),ttl
2026-01-20 17:45:59.909188,25.0010000000,12.5870000000,6.0000000000,35.7277985359,-78.6985929614,10.0000000000,-0.0336431506,-0.2033140149,1.1015057881,-4.8500000000,0.0000000000,-0.0080530699,172.16.0.1:,7.0000000000,92.1505788142,1464.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:00.649069,25.0010000000,12.5870000000,6.0000000000,35.7278060450,-78.6986328625,10.0000000000,-0.0326141964,-0.1985403498,1.1088676194,-4.8500000000,0.0000000000,-0.0089395344,172.16.0.1:,9.0000000000,92.8867619440,1796.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:01.210094,25.0010000000,12.5870000000,6.0000000000,35.7278116928,-78.6986628428,10.0000000000,-0.0319279011,-0.1968150627,1.1055517242,-4.8411034484,0.0000000000,-0.0085735544,172.16.0.1:,11.0000000000,93.4448275801,1949.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:01.634130,25.0010000000,12.5870000000,6.0000000000,35.7278159526,-78.6986854496,10.0000000000,-0.0314272484,-0.1958754210,1.1013340326,-4.8326680651,0.0000000000,-0.0080972598,172.16.0.1:,14.0000000000,93.8665967448,1757.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:01.950091,25.0006378179,12.5870000000,6.0000000000,35.7278190023,-78.6987016727,10.0000000000,-0.0248973339,-0.1673641845,1.0637817932,-4.6778835312,0.0000000000,-0.0089351715,172.16.0.1:,15.0000000000,94.1810910342,1872.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:02.109990,25.0003193389,12.5870000000,6.0000000000,35.7278204991,-78.6987096506,10.0000000000,-0.0192946040,-0.1425546263,1.0319338929,-4.5441223503,0.0000000000,-0.0098044468,172.16.0.1:,16.0000000000,94.3403305353,1825.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:03.285072,24.9984881559,12.5870000000,6.0000000000,35.7278302317,-78.6987617918,10.0000000000,0.0138090064,0.0132189159,0.7310914608,-3.2836551998,0.0000000000,-0.0131362852,172.16.0.1:,23.0000000000,95.5118440581,1583.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:04.048065,24.9988166366,12.5870000000,6.0000000000,35.7278345800,-78.6987854442,10.0000000000,0.0265424514,0.0836698264,0.4611151148,-2.1417949937,0.0000000000,-0.0124824570,172.16.0.1:,26.0000000000,96.2722122130,1741.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:04.669847,25.0006695477,12.5870000000,6.0000000000,35.7278368035,-78.6987977970,10.0000000000,0.0340248190,0.1288373166,0.2140603031,-1.0794593035,0.0000000000,-0.0115815778,172.16.0.1:,29.0000000000,96.8898492421,1748.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:05.211959,25.0018573822,12.5870000000,6.0000000000,35.7278375001,-78.6988016290,10.0000000000,0.0261930086,0.1020323535,0.0842617843,-0.4784565644,0.0000000000,-0.0126131325,172.16.0.1:,31.0000000000,97.4286910787,1883.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:05.370025,25.0021716585,12.5870000000,6.0000000000,35.7278376101,-78.6988022262,10.0000000000,0.0228330944,0.0892542145,0.0528341450,-0.3276038961,0.0000000000,-0.0130501446,172.16.0.1:,32.0000000000,97.5858292749,1837.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:06.083311,25.0021185676,12.5870000000,6.0000000000,35.7278378412,-78.6988031830,10.0000000000,0.0105168257,0.0403482525,-0.0388143244,0.1140716219,0.0000000000,-0.0140916462,172.16.0.1:,36.0000000000,98.2938108130,1730.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:07.513816,24.9980030920,12.5870000000,6.0000000000,35.7278384988,-78.6988059601,10.0000000000,-0.0473629355,-0.1965652352,0.2728180070,-1.1778356293,0.0000000000,-0.0066779538,172.16.0.1:,47.0000000000,99.6656360140,920.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:08.862013,24.9991098937,12.5870000000,6.0000000000,35.7278469176,-78.6988490847,10.0000000000,-0.0558069109,-0.2560478743,0.7934071963,-3.3305519250,0.0000000000,-0.0077079390,172.16.0.1:,50.0000000000,100.5274734273,1657.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:09.139872,24.9997033820,12.5870000000,6.0000000000,35.7278491729,-78.6988606132,10.0000000000,-0.0511790829,-0.2444755274,0.8928164882,-3.7385751380,0.0000000000,-0.0090077257,172.16.0.1:,51.0000000000,100.6758455047,1727.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:09.606875,25.0007008688,12.5870000000,6.0000000000,35.7278529633,-78.6988799894,10.0000000000,-0.0434010068,-0.2250256701,1.0598955232,-4.4243472965,0.0000000000,-0.0111923013,172.16.0.1:,54.0000000000,100.9252171987,1586.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:10.318917,24.9970037110,12.5870000000,6.0000000000,35.7278599803,-78.6989162289,10.0000000000,-0.0386473306,-0.2161762586,1.1271269528,-4.7498886695,0.0000000000,-0.0122990564,172.16.0.1:,57.0000000000,101.5708984264,1686.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:10.475888,24.9959070207,12.5870000000,6.0000000000,35.7278615940,-78.6989245794,10.0000000000,-0.0379829016,-0.2153483960,1.1318270540,-4.7827893782,0.0000000000,-0.0124229970,172.16.0.1:,58.0000000000,101.7275684675,1637.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:11.470287,24.9940000000,12.5870000000,6.0000000000,35.7278719973,-78.6989783048,10.0000000000,-0.0357451344,-0.2116335783,1.1400000000,-4.8901706189,0.0000000000,-0.0129896057,172.16.0.1:,62.0000000000,102.7167231268,1828.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:12.354287,24.9951958152,12.5870000000,6.0000000000,35.7278812780,-78.6990266849,10.0000000000,-0.0348929074,-0.2069996340,1.1400000000,-4.9219581521,0.0000000000,-0.0130929514,172.16.0.1:,66.0000000000,103.5979076048,1893.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:13.013901,24.9965127472,12.5870000000,6.0000000000,35.7278881919,-78.6990628749,10.0000000000,-0.0343860854,-0.2032468650,1.1374362642,-4.9197450569,0.0000000000,-0.0132038583,172.16.0.1:,69.0000000000,104.2563735769,1941.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:13.191882,24.9968680032,12.5870000000,6.0000000000,35.7278900570,-78.6990726267,10.0000000000,-0.0342326890,-0.2023868990,1.1356599841,-4.9126399364,0.0000000000,-0.0132972029,172.16.0.1:,70.0000000000,104.4340015907,1914.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:15.409931,24.9986406900,12.5870000000,6.0000000000,35.7279129991,-78.6991925973,10.0000000000,-0.0342817824,-0.2005033792,1.1200000000,-4.8471861991,0.0000000000,-0.0132020942,172.16.0.1:,81.0000000000,106.6406900474,1895.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:15.626207,24.9988555898,12.5870000000,6.0000000000,35.7279152126,-78.6992042018,10.0000000000,-0.0344745053,-0.2007291350,1.1200000000,-4.8428882045,0.0000000000,-0.0132061366,172.16.0.1:,82.0000000000,106.8555897769,1905.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:16.289964,24.9995149814,12.5870000000,6.0000000000,35.7279220043,-78.6992396030,10.0000000000,-0.0350865888,-0.2026002904,1.1251498138,-4.8502996276,0.0000000000,-0.0128287069,172.16.0.1:,86.0000000000,107.5149813801,1753.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:16.514917,24.9997384415,12.5870000000,6.0000000000,35.7279243059,-78.6992515805,10.0000000000,-0.0352959876,-0.2033463921,1.1273844151,-4.8547688302,0.0000000000,-0.0126637543,172.16.0.1:,87.0000000000,107.7384415113,1774.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:16.719897,24.9999420611,12.5870000000,6.0000000000,35.7279264032,-78.6992624945,10.0000000000,-0.0354867943,-0.2040262490,1.1294206108,-4.8588412216,0.0000000000,-0.0125134475,172.16.0.1:,88.0000000000,107.9420610790,1775.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:17.121857,25.0003431532,12.5870000000,6.0000000000,35.7279305688,-78.6992841646,10.0000000000,-0.0353587199,-0.2031036881,1.1300000000,-4.8600000000,0.0000000000,-0.0128377863,172.16.0.1:,90.0000000000,108.3431532200,1769.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:17.658913,25.0008794579,12.5870000000,6.0000000000,35.7279361464,-78.6993131787,10.0000000000,-0.0350737028,-0.2013595054,1.1300000000,-4.8600000000,0.0000000000,-0.0134115291,172.16.0.1:,93.0000000000,108.8794579472,1701.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:18.870782,25.0010000000,12.5870000000,6.0000000000,35.7279485756,-78.6993780635,10.0000000000,-0.0345688443,-0.2022112202,1.1291580322,-4.8583160644,0.0000000000,-0.0135094690,172.16.0.1:,99.0000000000,110.0841967788,1701.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:19.265872,25.0010000000,12.5870000000,6.0000000000,35.7279526232,-78.6993991573,10.0000000000,-0.0342657195,-0.2002887795,1.1252661727,-4.8505323454,0.0000000000,-0.0133930900,172.16.0.1:,101.0000000000,110.4733827293,1689.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:19.575873,25.0010000000,12.5870000000,6.0000000000,35.7279557990,-78.6994157083,10.0000000000,-0.0340278773,-0.1987803664,1.1222124858,-4.8444249715,0.0000000000,-0.0133017750,172.16.0.1:,103.0000000000,110.7787514235,1590.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:20.086224,25.0010000000,12.5870000000,6.0000000000,35.7279613227,-78.6994444692,10.0000000000,-0.0343090834,-0.1996027505,1.1228519091,-4.8428519091,0.0000000000,-0.0131342585,172.16.0.1:,105.0000000000,111.2851909066,1689.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:20.892167,25.0010000000,12.5870000000,6.0000000000,35.7279702421,-78.6994908717,10.0000000000,-0.0353957824,-0.2040080174,1.1300000000,-4.8491041624,0.0000000000,-0.0128878803,172.16.0.1:,109.0000000000,112.0895837587,1679.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:21.959759,25.0010000000,12.5870000000,6.0000000000,35.7279805470,-78.6995444060,10.0000000000,-0.0350860558,-0.2005101136,1.1300000000,-4.8415460142,0.0000000000,-0.0130211071,172.16.0.1:,115.0000000000,113.1546014209,1535.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:22.721998,25.0010000000,12.5870000000,6.0000000000,35.7279891073,-78.6995890255,10.0000000000,-0.0360601641,-0.2030512714,1.1300000000,-4.8491214744,0.0000000000,-0.0132923201,172.16.0.1:,119.0000000000,113.9121474417,1485.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:23.302770,25.0005100123,12.5870000000,6.0000000000,35.7279951959,-78.6996207573,10.0000000000,-0.0350640325,-0.2014739231,1.1300000000,-4.8500000000,0.0000000000,-0.0131475907,172.16.0.1:,123.0000000000,114.4899877257,1245.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:23.489764,25.0003239248,12.5870000000,6.0000000000,35.7279971312,-78.6996308433,10.0000000000,-0.0346428190,-0.2007629575,1.1300000000,-4.8500000000,0.0000000000,-0.0130806803,172.16.0.1:,124.0000000000,114.6760752476,1228.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:23.937886,25.0001219847,12.5870000000,6.0000000000,35.7280017564,-78.6996549628,10.0000000000,-0.0341158173,-0.1996919265,1.1300000000,-4.8487801530,0.0000000000,-0.0128310999,172.16.0.1:,126.0000000000,115.1219847001,1269.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:24.064795,25.0002482373,12.5870000000,6.0000000000,35.7280030568,-78.6996617552,10.0000000000,-0.0343292415,-0.1998643090,1.1300000000,-4.8475176274,0.0000000000,-0.0126933342,172.16.0.1:,127.0000000000,115.2482372602,1195.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:25.824748,25.0010000000,12.5870000000,6.0000000000,35.7280212142,-78.6997563743,10.0000000000,-0.0335312951,-0.1971065346,1.1200139415,-4.8300139415,0.0000000000,-0.0135847752,172.16.0.1:,133.0000000000,117.0013941535,1735.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:26.022772,25.0010000000,12.5870000000,6.0000000000,35.7280232211,-78.6997668614,10.0000000000,-0.0341666546,-0.1986829830,1.1219815039,-4.8319815039,0.0000000000,-0.0135555041,172.16.0.1:,134.0000000000,117.1981503875,1729.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:27.345756,25.0010000000,12.5870000000,6.0000000000,35.7280367362,-78.6998373074,10.0000000000,-0.0355724933,-0.2029754880,1.1300000000,-4.8502620057,0.0000000000,-0.0127853800,172.16.0.1:,140.0000000000,118.5131002866,1813.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:28.249427,25.0005673651,12.5870000000,6.0000000000,35.7280458884,-78.6998848207,10.0000000000,-0.0257353605,-0.1641183730,1.0780838075,-4.6523352301,0.0000000000,-0.0135674231,172.16.0.1:,145.0000000000,119.2163174687,1600.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:28.311646,25.0005023533,12.5870000000,6.0000000000,35.7280465028,-78.6998880096,10.0000000000,-0.0244258998,-0.1585833661,1.0702823980,-4.6211295919,0.0000000000,-0.0137777466,172.16.0.1:,146.0000000000,119.2488233418,1458.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:28.675981,25.0001216648,12.5870000000,6.0000000000,35.7280501003,-78.6999066823,10.0000000000,-0.0167581062,-0.1261720921,1.0245997770,-4.4383991082,0.0000000000,-0.0150093349,172.16.0.1:,148.0000000000,119.4391675956,1411.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:29.702753,24.9990488056,12.5870000000,6.0000000000,35.7280602388,-78.6999593061,10.0000000000,0.0048513282,-0.0348303928,0.8958566664,-3.9234266657,0.0000000000,-0.0184802067,172.16.0.1:,153.0000000000,119.9755972232,1429.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:29.906438,24.9990812349,12.5870000000,6.0000000000,35.7280615205,-78.6999660704,10.0000000000,0.0082388272,-0.0174313337,0.8331355418,-3.6603569260,0.0000000000,-0.0184784448,172.16.0.1:,154.0000000000,120.0812349403,1433.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:30.408614,24.9993411108,12.5870000000,6.0000000000,35.7280641452,-78.6999800518,10.0000000000,0.0159308569,0.0249365193,0.6512224501,-2.8937231828,0.0000000000,-0.0179676960,172.16.0.1:,157.0000000000,120.3411107855,1331.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:30.561825,24.9994203975,12.5870000000,6.0000000000,35.7280649460,-78.6999843174,10.0000000000,0.0182776529,0.0378627182,0.5957217663,-2.6598274436,0.0000000000,-0.0178118694,172.16.0.1:,158.0000000000,120.4203974767,1281.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:30.865685,24.9995776449,12.5870000000,6.0000000000,35.7280665342,-78.6999927773,10.0000000000,0.0229319970,0.0634989383,0.4856485923,-2.1959476392,0.0000000000,-0.0175028221,172.16.0.1:,159.0000000000,120.5776448681,1380.0000000000,64.0000000000,64.0000000000
2026-01-20 17:46:31.052908,24.9996745327,12.5870000000,6.0000000000,35.7280675128,-78.6999979899,10.0000000000,0.0257997669,0.0792946717,0.4178271074,-1.9101285240,0.0000000000,-0.0173124029,172.16.0.1:,160.0000000000,120.6745327037,1364.0000000000,64.0000000000,64.0000000000
