time,size(byte),destination,icmp_seq,ttl,pingtime
2026-01-20 17:45:59.909188,64,172.16.0.1:,7,64,1464
2026-01-20 17:46:00.649069,64,172.16.0.1:,9,64,1796
2026-01-20 17:46:01.210094,64,172.16.0.1:,11,64,1949
2026-01-20 17:46:01.634130,64,172.16.0.1:,14,64,1757
2026-01-20 17:46:01.950091,64,172.16.0.1:,15,64,1872
2026-01-20 17:46:02.109990,64,172.16.0.1:,16,64,1825
2026-01-20 17:46:03.285072,64,172.16.0.1:,23,64,1583
2026-01-20 17:46:04.048065,64,172.16.0.1:,26,64,1741
2026-01-20 17:46:04.669847,64,172.16.0.1:,29,64,1748
2026-01-20 17:46:05.211959,64,172.16.0.1:,31,64,1883
2026-01-20 17:46:05.370025,64,172.16.0.1:,32,64,1837
2026-01-20 17:46:06.083311,64,172.16.0.1:,36,64,1730
2026-01-20 17:46:07.513816,64,172.16.0.1:,47,64,920
2026-01-20 17:46:08.862013,64,172.16.0.1:,50,64,1657
2026-01-20 17:46:09.139872,64,172.16.0.1:,51,64,1727
2026-01-20 17:46:09.606875,64,172.16.0.1:,54,64,1586
2026-01-20 17:46:10.318917,64,172.16.0.1:,57,64,1686
2026-01-20 17:46:10.475888,64,172.16.0.1:,58,64,1637
2026-01-20 17:46:11.470287,64,172.16.0.1:,62,64,1828
2026-01-20 17:46:12.354287,64,172.16.0.1:,66,64,1893
2026-01-20 17:46:13.013901,64,172.16.0.1:,69,64,1941
2026-01-20 17:46:13.191882,64,172.16.0.1:,70,64,1914
2026-01-20 17:46:15.409931,64,172.16.0.1:,81,64,1895
2026-01-20 17:46:15.626207,64,172.16.0.1:,82,64,1905
2026-01-20 17:46:16.289964,64,172.16.0.1:,86,64,1753
2026-01-20 17:46:16.514917,64,172.16.0.1:,87,64,1774
2026-01-20 17:46:16.719897,64,172.16.0.1:,88,64,1775
2026-01-20 17:46:17.121857,64,172.16.0.1:,90,64,1769
2026-01-20 17:46:17.658913,64,172.16.0.1:,93,64,1701
2026-01-20 17:46:18.870782,64,172.16.0.1:,99,64,1701
2026-01-20 17:46:19.265872,64,172.16.0.1:,101,64,1689
2026-01-20 17:46:19.575873,64,172.16.0.1:,103,64,1590
2026-01-20 17:46:20.086224,64,172.16.0.1:,105,64,1689
2026-01-20 17:46:20.892167,64,172.16.0.1:,109,64,1679
2026-01-20 17:46:21.959759,64,172.16.0.1:,115,64,1535
2026-01-20 17:46:22.721998,64,172.16.0.1:,119,64,1485
2026-01-20 17:46:23.302770,64,172.16.0.1:,123,64,1245
2026-01-20 17:46:23.489764,64,172.16.0.1:,124,64,1228
2026-01-20 17:46:23.937886,64,172.16.0.1:,126,64,1269
2026-01-20 17:46:24.064795,64,172.16.0.1:,127,64,1195
2026-01-20 17:46:25.824748,64,172.16.0.1:,133,64,1735
2026-01-20 17:46:26.022772,64,172.16.0.1:,134,64,1729
2026-01-20 17:46:27.345756,64,172.16.0.1:,140,64,1813
2026-01-20 17:46:28.249427,64,172.16.0.1:,145,64,1600
2026-01-20 17:46:28.311646,64,172.16.0.1:,146,64,1458
2026-01-20 17:46:28.675981,64,172.16.0.1:,148,64,1411
2026-01-20 17:46:29.702753,64,172.16.0.1:,153,64,1429
2026-01-20 17:46:29.906438,64,172.16.0.1:,154,64,1433
2026-01-20 17:46:30.408614,64,172.16.0.1:,157,64,1331
2026-01-20 17:46:30.561825,64,172.16.0.1:,158,64,1281
2026-01-20 17:46:30.865685,64,172.16.0.1:,159,64,1380
2026-01-20 17:46:31.052908,64,172.16.0.1:,160,64,1364
2026-01-20 17:46:31.410794,64,172.16.0.1:,162,64,1320
2026-01-20 17:46:32.493690,64,172.16.0.1:,167,64,1398
2026-01-20 17:46:33.294757,64,172.16.0.1:,171,64,1385
2026-01-20 17:46:34.375677,64,172.16.0.1:,176,64,1446
2026-01-20 17:46:34.523797,64,172.16.0.1:,177,64,1391
2026-01-20 17:46:34.997909,64,172.16.0.1:,179,64,1465
2026-01-20 17:46:35.165771,64,172.16.0.1:,180,64,1424
2026-01-20 17:46:35.416755,64,172.16.0.1:,182,64,1263
2026-01-20 17:46:35.629931,64,172.16.0.1:,183,64,1268
2026-01-20 17:46:35.975653,64,172.16.0.1:,184,64,1414
2026-01-20 17:46:36.580778,64,172.16.0.1:,188,64,1203
2026-01-20 17:46:37.066127,64,172.16.0.1:,191,64,1080
2026-01-20 17:46:37.311294,64,172.16.0.1:,192,64,1117
2026-01-20 17:46:37.657827,64,172.16.0.1:,194,64,1056
2026-01-20 17:46:38.020169,64,172.16.0.1:,196,64,1007
2026-01-20 17:46:39.117789,64,172.16.0.1:,201,64,1088
2026-01-20 17:46:39.305821,64,172.16.0.1:,202,64,1073
2026-01-20 17:46:39.982773,64,172.16.0.1:,206,64,921
2026-01-20 17:46:40.296767,64,172.16.0.1:,208,64,835
2026-01-20 17:46:40.719778,64,172.16.0.1:,210,64,850
2026-01-20 17:46:40.929803,64,172.16.0.1:,211,64,860
2026-01-20 17:46:41.143194,64,172.16.0.1:,212,64,870
2026-01-20 17:46:41.594669,64,172.16.0.1:,214,64,921
2026-01-20 17:46:41.926770,64,172.16.0.1:,215,64,1051
2026-01-20 17:46:42.827779,64,172.16.0.1:,218,64,1346
2026-01-20 17:46:43.020652,64,172.16.0.1:,220,64,1134
2026-01-20 17:46:43.197822,64,172.16.0.1:,221,64,1111
2026-01-20 17:46:44.052395,64,172.16.0.1:,226,64,950
2026-01-20 17:46:44.261987,64,172.16.0.1:,227,64,959
2026-01-20 17:46:44.611800,64,172.16.0.1:,229,64,899
2026-01-20 17:46:44.732790,64,172.16.0.1:,230,64,811
2026-01-20 17:46:45.491164,64,172.16.0.1:,234,64,760
2026-01-20 17:46:46.014651,64,172.16.0.1:,236,64,885
2026-01-20 17:46:46.297756,64,172.16.0.1:,237,64,960
2026-01-20 17:46:46.717833,64,172.16.0.1:,239,64,976
2026-01-20 17:46:47.043800,64,172.16.0.1:,241,64,898
2026-01-20 17:46:48.317881,64,172.16.0.1:,247,64,961
2026-01-20 17:46:48.919664,64,172.16.0.1:,250,64,946
2026-01-20 17:46:51.318374,64,172.16.0.1:,261,64,969
2026-01-20 17:46:52.100009,64,172.16.0.1:,265,64,935
2026-01-20 17:46:52.692428,64,172.16.0.1:,267,64,1127
2026-01-20 17:46:53.574308,64,172.16.0.1:,271,64,1189
2026-01-20 17:46:53.931362,64,172.16.0.1:,274,64,934
2026-01-20 17:46:54.857603,64,172.16.0.1:,277,64,1247
2026-01-20 17:46:55.977057,64,172.16.0.1:,282,64,1335
2026-01-20 17:46:57.895318,64,172.16.0.1:,291,64,1422
2026-01-20 17:46:58.470196,64,172.16.0.1:,300,64,157
2026-01-20 17:46:59.928182,64,172.16.0.1:,301,64,1415
2026-01-20 17:47:00.259255,64,172.16.0.1:,302,64,1542
2026-01-20 17:47:00.696189,64,172.16.0.1:,305,64,1359
2026-01-20 17:47:01.360205,64,172.16.0.1:,308,64,1414
2026-01-20 17:47:03.086353,64,172.16.0.1:,316,64,1509
2026-01-20 17:47:04.006194,64,172.16.0.1:,320,64,1609
2026-01-20 17:47:04.634270,64,172.16.0.1:,323,64,1617
2026-01-20 17:47:04.954314,64,172.16.0.1:,324,64,1736
2026-01-20 17:47:05.434638,64,172.16.0.1:,327,64,1601
2026-01-20 17:47:06.030160,64,172.16.0.1:,329,64,1793
2026-01-20 17:47:06.189576,64,172.16.0.1:,330,64,1745
2026-01-20 17:47:06.686168,64,172.16.0.1:,333,64,1636
2026-01-20 17:47:08.620708,64,172.16.0.1:,343,64,1547
2026-01-20 17:47:08.962175,64,172.16.0.1:,345,64,1477
2026-01-20 17:47:09.402197,64,172.16.0.1:,347,64,1505
2026-01-20 17:47:09.542234,64,172.16.0.1:,348,64,1437
2026-01-20 17:47:09.738208,64,172.16.0.1:,349,64,1425
2026-01-20 17:47:09.888304,64,172.16.0.1:,350,64,1371
2026-01-20 17:47:10.534246,64,172.16.0.1:,353,64,1408
2026-01-20 17:47:11.177230,64,172.16.0.1:,355,64,1647
2026-01-20 17:47:11.417281,64,172.16.0.1:,356,64,1686
2026-01-20 17:47:11.714224,64,172.16.0.1:,357,64,1781
2026-01-20 17:47:12.205536,64,172.16.0.1:,359,64,1868
2026-01-20 17:47:14.615590,64,172.16.0.1:,379,64,198
2026-01-20 17:47:16.117733,64,172.16.0.1:,380,64,1500
2026-01-20 17:47:17.112231,64,172.16.0.1:,383,64,1879
2026-01-20 17:47:17.349223,64,172.16.0.1:,384,64,1912
2026-01-20 17:47:19.934331,64,172.16.0.1:,395,64,2261
2026-01-20 17:47:20.141584,64,172.16.0.1:,397,64,2056
2026-01-20 17:47:20.361043,64,172.16.0.1:,399,64,1867
2026-01-20 17:47:21.524289,64,172.16.0.1:,405,64,1806
2026-01-20 17:47:21.892059,64,172.16.0.1:,407,64,1770
2026-01-20 17:47:22.332358,64,172.16.0.1:,409,64,1809
2026-01-20 17:47:23.695294,64,172.16.0.1:,424,64,105
2026-01-20 17:47:24.895104,64,172.16.0.1:,425,64,1105
2026-01-20 17:47:25.307219,64,172.16.0.1:,426,64,1314
2026-01-20 17:47:25.610483,64,172.16.0.1:,427,64,1413
2026-01-20 17:47:25.956477,64,172.16.0.1:,428,64,1554
2026-01-20 17:47:26.506136,64,172.16.0.1:,430,64,1697
2026-01-20 17:47:27.055583,64,172.16.0.1:,432,64,1842
