time,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-20 17:44:35.924172,0.105916,0.020846,13.612598663
2026-01-20 17:44:36.031167,0.106993,0.015116,13.475573168
2026-01-20 17:44:36.135185,0.104016,0.015093,13.231195201
2026-01-20 17:44:36.242138,0.106951,0.015436,12.868098475
2026-01-20 17:44:36.347260,0.105117,0.014429,12.469153420000001
2026-01-20 17:44:36.451265,0.104004,0.014837,14.492981039
2026-01-20 17:44:36.554358,0.103101,0.011136,13.348619315
2026-01-20 17:44:36.658235,0.103871,0.015844,11.356856100000002
2026-01-20 17:44:36.856896,0.198643,0.021442,5.9385329460000005
2026-01-20 17:44:36.963219,0.106346,0.073450,22.801346548
2026-01-20 17:44:37.066583,0.103044,0.036374,16.536004036999998
2026-01-20 17:44:37.171072,0.104808,0.016299,13.756507137
2026-01-20 17:44:37.275185,0.104106,0.015518,13.219756786
2026-01-20 17:44:37.379084,0.103914,0.026569,12.613507323
2026-01-20 17:44:37.482242,0.103149,0.015357,10.800996617000001
2026-01-20 17:44:37.585271,0.103022,0.021027,14.631127332
2026-01-20 17:44:37.688131,0.102866,0.016682,13.379114576
2026-01-20 17:44:37.856901,0.168765,0.038247,4.271596599
2026-01-20 17:44:37.961360,0.104441,0.077434,19.452284065
2026-01-20 17:44:38.068187,0.106846,0.061936,14.107481796
2026-01-20 17:44:38.189001,0.120818,0.062260,4.881921568
2026-01-20 17:44:38.296467,0.107465,0.114061,14.636058252000002
2026-01-20 17:44:38.400568,0.104070,0.109622,13.854059767
2026-01-20 17:44:38.507765,0.107129,0.101139,14.070214414
2026-01-20 17:44:38.616022,0.108347,0.101124,6.65358524
2026-01-20 17:44:38.721359,0.105177,0.158560,8.723428126
2026-01-20 17:44:38.854336,0.133144,0.209693,1.476656853
2026-01-20 17:44:39.006046,0.151647,0.308112,2.5929691979999996
2026-01-20 17:44:39.144961,0.138969,0.451168,2.8295231309999997
2026-01-20 17:44:39.259491,0.114534,0.554977,4.577575218
2026-01-20 17:44:39.364605,0.105111,0.626278,3.740959557
2026-01-20 17:44:39.557289,0.192440,0.711947,2.383870297
2026-01-20 17:44:40.048808,0.491649,0.833013,0.6664917450000001
2026-01-20 17:44:40.168849,0.119935,0.968268,0.546429316
2026-01-20 17:44:40.388610,0.219961,1.020965,0.595887453
2026-01-20 17:44:40.508589,0.120002,1.058253,0.546124231
2026-01-20 17:44:40.903570,0.394977,1.026900,0.497770756
2026-01-20 17:44:41.019505,2.016023,1.124737,0.032507565999999995
2026-01-20 17:44:41.158989,0.139202,2.164849,0.470797833
2026-01-20 17:44:41.291421,0.387842,0.890178,0.168976026
2026-01-20 17:44:41.492948,0.201472,0.841090,0.9758576870000001
2026-01-20 17:44:41.626321,0.467446,2.455672,0.140200151
2026-01-20 17:44:41.899257,0.406263,0.864355,0.322628445
2026-01-20 17:44:42.010528,0.111367,0.892829,1.765406269
2026-01-20 17:44:42.262922,0.252184,0.920729,0.259873743
2026-01-20 17:44:42.416350,0.790306,3.062043,0.082924842
2026-01-20 17:44:42.437621,0.174901,0.977555,0.749406807
2026-01-20 17:44:42.567165,0.129442,1.016142,1.0125925120000001
2026-01-20 17:44:42.617361,0.201015,3.538684,0.652050842
2026-01-20 17:44:42.725119,0.107749,3.687075,0.608228383
2026-01-20 17:44:42.871337,0.304158,1.001276,0.21546696099999998
2026-01-20 17:44:43.008859,0.137663,0.940584,1.428183317
2026-01-20 17:44:43.265818,0.256955,0.846533,0.510097099
2026-01-20 17:44:43.471569,0.205760,0.799967,0.637013997
2026-01-20 17:44:43.544317,0.819207,4.132977,0.07999931599999999
2026-01-20 17:44:43.578484,0.106909,0.754690,0.613007324
2026-01-20 17:44:43.983723,0.405229,0.772590,0.323451678
2026-01-20 17:44:44.340478,0.356770,0.821309,0.36738515
2026-01-20 17:44:44.924838,0.584057,0.769519,0.112208226
2026-01-20 17:44:45.074314,1.529991,5.267589,0.042834238999999996
2026-01-20 17:44:45.080583,0.155988,0.795668,2.5208092929999997
2026-01-20 17:44:45.708558,0.628030,0.822280,0.208703406
2026-01-20 17:45:11.378742,25.670086,0.820650,0.002553011
2026-01-20 17:45:11.894312,0.515675,0.890949,0.127087798
2026-01-20 17:45:13.306348,1.412030,0.909073,0.046412612000000006
2026-01-20 17:45:13.424543,0.118184,0.930697,1.109050294
2026-01-20 17:45:13.676351,0.251818,0.987604,0.26025145099999997
2026-01-20 17:45:14.043473,0.367110,0.956967,0.1785187
2026-01-20 17:45:14.392575,0.349069,0.905046,0.187745116
2026-01-20 17:45:15.273125,0.880597,0.460064,0.074422239
2026-01-20 17:45:15.388134,30.313827,3.084089,0.002161918
2026-01-20 17:45:15.401632,0.128362,0.049965,4.0844486689999995
2026-01-20 17:45:15.552769,0.151267,0.162864,1.299741517
2026-01-20 17:45:15.660551,0.107645,0.288612,1.8264480470000002
2026-01-20 17:45:15.855850,0.195446,0.366254,2.347205878
2026-01-20 17:45:15.975228,0.118821,0.511763,4.963971015
2026-01-20 17:45:16.066113,0.677972,0.403730,0.193329518
2026-01-20 17:45:16.100374,0.125601,0.589546,3.652454996
2026-01-20 17:45:16.208217,0.107952,0.683147,3.642507781
2026-01-20 17:45:16.222069,0.155976,0.878966,0.42016720500000004
2026-01-20 17:45:16.363392,0.155170,0.745202,2.9564477670000002
2026-01-20 17:45:16.381013,0.158244,1.029568,0.8282904879999999
2026-01-20 17:45:16.478267,0.114733,0.790515,0.571204449
2026-01-20 17:45:16.578131,0.197799,1.196601,0.33132624499999996
2026-01-20 17:45:16.583271,0.105154,0.847293,0.623238298
2026-01-20 17:45:16.689215,0.111036,1.343519,0.590222991
2026-01-20 17:45:16.712401,0.129123,0.877264,1.015094135
2026-01-20 17:45:16.864665,0.152251,0.923312,0.430447091
2026-01-20 17:45:17.322653,0.457949,0.681088,0.286215277
2026-01-20 17:45:17.433431,0.110802,0.079539,3.548816808
2026-01-20 17:45:17.541978,0.108575,0.173844,3.018005987
2026-01-20 17:45:17.651392,0.109298,0.257451,2.3984336400000004
2026-01-20 17:45:17.877389,0.225986,0.369331,1.160001062
2026-01-20 17:45:17.997540,0.120276,0.522770,2.179520436
2026-01-20 17:45:18.046016,1.356840,1.052396,0.048300463
2026-01-20 17:45:18.151070,0.153529,0.645301,2.1343199
2026-01-20 17:45:18.302616,0.151540,0.759743,2.162333377
2026-01-20 17:45:18.449952,0.147322,0.870858,3.1139408910000004
2026-01-20 17:45:18.573381,0.123344,0.990318,2.125308081
2026-01-20 17:45:18.904121,0.330850,1.055258,0.594251171
2026-01-20 17:45:19.067908,0.163582,1.030097,0.400630876
2026-01-20 17:45:19.198893,1.152891,1.109226,0.113689846
2026-01-20 17:45:19.209932,0.142234,1.045151,0.921523686
2026-01-20 17:45:19.381923,0.183033,1.902829,0.7161113020000001
2026-01-20 17:45:19.418390,0.208343,1.076398,0.314558204
2026-01-20 17:45:20.028982,0.647040,2.310262,0.101285856
2026-01-20 17:45:20.258049,0.229080,2.738383,0.286083464
2026-01-20 17:45:20.719963,0.461872,3.073859,0.14189212599999998
2026-01-20 17:45:20.882156,1.463863,1.117498,0.044769217
2026-01-20 17:45:21.140047,0.420132,3.502360,0.15598907
2026-01-20 17:45:21.184068,0.301915,1.150385,0.21706771800000002
2026-01-20 17:45:21.314950,0.174888,3.794094,0.749462513
2026-01-20 17:45:41.899879,20.584927,2.152215,0.0031836890000000004
2026-01-20 17:45:42.043390,0.143404,0.490386,0.914005188
2026-01-20 17:45:42.175862,20.991804,1.610488,0.0031219800000000003
2026-01-20 17:45:42.181013,0.137731,0.626733,1.4274782
2026-01-20 17:45:42.311947,0.130936,0.743840,1.5015580130000001
2026-01-20 17:45:42.447791,0.135736,0.860917,1.448458773
2026-01-20 17:45:42.560008,0.112294,0.972741,1.167221757
2026-01-20 17:45:42.815921,0.255949,1.115658,0.51210202
2026-01-20 17:45:43.926923,1.110999,1.788789,0.058988352
2026-01-20 17:45:44.338408,0.411482,2.474563,0.318536412
2026-01-20 17:45:44.454918,0.116518,2.761465,0.56245387
2026-01-20 17:45:44.626508,0.171251,2.897321,0.765379472
2026-01-20 17:45:44.819965,0.193791,3.059798,0.6763575190000001
2026-01-20 17:45:47.319323,5.143261,1.920495,0.012742110999999999
2026-01-20 17:45:48.254042,3.434082,2.228518,0.038167988
2026-01-20 17:45:48.416565,0.162530,0.334685,1.209672061
2026-01-20 17:45:48.564005,0.146869,0.474762,0.892441564
2026-01-20 17:45:48.702058,0.138617,0.601339,0.945569447
2026-01-20 17:45:49.137587,1.818336,0.928056,0.036041744
2026-01-20 17:45:49.372364,0.234900,0.128727,1.1159812690000002
2026-01-20 17:45:49.375810,0.673751,0.428803,0.097270357
2026-01-20 17:45:49.504717,0.132358,0.341172,2.475709817
2026-01-20 17:45:49.544809,0.168985,0.253415,1.163464213
2026-01-20 17:45:49.624045,0.119306,0.443818,2.1972407090000003
2026-01-20 17:45:49.657094,0.112035,0.377677,1.169920114
2026-01-20 17:45:50.045772,0.421748,0.589437,0.621565485
2026-01-20 17:45:50.067750,0.410927,0.574829,0.318966629
2026-01-20 17:45:50.164658,0.118885,0.906401,2.756277074
2026-01-20 17:45:50.187684,0.119925,0.865103,1.09294976
2026-01-20 17:45:50.304790,0.140131,1.004110,2.33838337
2026-01-20 17:45:50.317845,0.130133,0.981591,1.007215695
2026-01-20 17:45:50.409790,0.105007,1.114485,2.4964430940000004
2026-01-20 17:45:50.562673,0.152871,1.204303,1.714805293
2026-01-20 17:45:50.642054,0.324133,1.144088,0.6065658230000001
2026-01-20 17:45:50.919687,0.277735,1.446128,0.47193187799999997
2026-01-20 17:45:51.043781,0.123953,1.660884,1.057433059
2026-01-20 17:45:51.148785,0.105149,1.763561,0.623267934
2026-01-20 17:45:51.255570,0.106558,1.857648,1.230053117
2026-01-20 17:45:51.396644,0.141309,1.970943,1.391333885
2026-01-20 17:45:51.502203,0.105535,2.075245,1.2419765950000001
2026-01-20 17:45:51.616715,0.114485,2.180415,1.144883609
2026-01-20 17:45:51.910621,0.293947,2.336474,0.66885527
2026-01-20 17:46:17.330853,25.420230,2.272439,0.005156208000000001
2026-01-20 17:46:23.119753,5.788900,1.626797,0.011320976
2026-01-20 17:46:24.029919,0.910160,1.403860,0.072004922
2026-01-20 17:46:24.232780,0.202860,1.275351,0.323060239
2026-01-20 17:46:25.718931,1.486121,1.467342,0.044098697
2026-01-20 17:46:43.509195,17.790294,1.313068,0.003683806
2026-01-20 17:46:45.366810,1.857622,0.877025,0.035279513
2026-01-20 17:46:45.514307,0.147493,0.769014,1.332998854
2026-01-20 17:46:45.625200,0.110676,0.702293,1.184285663
2026-01-20 17:46:47.474752,1.849765,0.813893,0.035429365
2026-01-20 17:46:47.604150,0.129417,0.918753,1.519182179
2026-01-20 17:46:47.727157,0.122885,0.894730,0.5333116330000001
2026-01-20 17:46:49.455961,1.728921,0.888132,0.037905723
2026-01-20 17:46:49.568006,0.112039,0.911014,0.584939173
2026-01-20 17:46:49.732091,0.163871,0.881801,1.999621654
2026-01-20 17:46:50.117746,0.385627,0.415528,0.169946606
2026-01-20 17:46:50.187609,59.624812,0.908406,0.002198279
2026-01-20 17:46:50.299239,0.181557,0.077055,2.165799171
2026-01-20 17:46:50.415449,0.116403,0.199841,3.378057267
2026-01-20 17:46:50.468357,0.280876,0.276318,0.23332716199999998
2026-01-20 17:46:50.524715,0.109154,0.293492,2.401597743
2026-01-20 17:46:50.704799,0.180193,0.405058,1.818494614
2026-01-20 17:46:50.722422,0.254042,0.528776,0.257973091
2026-01-20 17:46:50.887579,0.182652,0.561765,0.7176050629999999
2026-01-20 17:46:51.003877,0.116095,0.680533,3.3870192510000003
2026-01-20 17:46:51.005441,0.282010,0.784302,0.232388922
2026-01-20 17:46:51.109323,0.105768,0.812358,1.858860903
2026-01-20 17:46:51.191732,0.186054,1.008333,0.35224182200000004
2026-01-20 17:46:51.223880,0.114546,0.869673,4.577095665
2026-01-20 17:46:51.327297,0.103429,0.945814,5.069061869
2026-01-20 17:46:51.425456,0.234980,1.208848,0.278900332
2026-01-20 17:46:51.575472,0.150018,1.391342,0.436854244
2026-01-20 17:46:51.698348,0.371033,0.967690,0.7065247570000001
2026-01-20 17:46:51.713804,0.138330,1.525418,0.9475312659999999
2026-01-20 17:46:52.040389,0.326604,1.745491,0.200658902
2026-01-20 17:46:52.084741,0.386305,0.870512,0.169648335
2026-01-20 17:46:52.192390,0.151987,1.968622,0.862389546
2026-01-20 17:46:52.335329,0.142940,2.106928,0.916972156
2026-01-20 17:46:52.494027,0.158667,2.249431,0.826082298
2026-01-20 17:46:52.653441,0.159458,2.397426,0.821984472
2026-01-20 17:46:52.907430,0.253972,2.593824,0.258044194
2026-01-20 17:46:53.029481,0.944849,1.049190,0.13872269499999998
2026-01-20 17:46:53.132438,0.225019,2.814345,0.582493034
2026-01-20 17:46:53.289381,0.156941,3.001329,0.835167356
2026-01-20 17:46:53.367794,0.338032,1.272532,0.193875136
2026-01-20 17:46:53.663274,0.373900,3.247226,0.175276812
2026-01-20 17:46:53.907327,0.539811,1.091452,0.12140545500000001
2026-01-20 17:46:53.956403,0.293114,3.563233,0.223585363
2026-01-20 17:46:54.314843,0.407500,0.982613,0.16082454000000002
2026-01-20 17:46:56.080444,1.765621,1.194173,0.037117818999999996
2026-01-20 17:46:56.258643,0.178172,1.356069,0.36782434999999997
2026-01-20 17:46:56.487085,0.228448,1.319377,0.286874912
2026-01-20 17:46:56.637581,0.150507,1.318852,0.435434897
2026-01-20 17:46:57.709581,1.072011,1.367612,0.061133701
2026-01-20 17:47:11.987092,18.030705,3.560140,0.003634689
2026-01-20 17:47:14.449876,16.740268,0.726195,0.003914872
2026-01-20 17:47:14.518360,2.530511,2.382552,0.051796653
2026-01-20 17:47:14.557029,0.107074,0.109824,0.612062686
2026-01-20 17:47:14.625359,0.107714,0.273587,1.216852034
2026-01-20 17:47:14.678494,0.121433,0.201001,3.238131315
2026-01-20 17:47:14.894778,0.216411,0.326380,0.605662374
2026-01-20 17:47:14.940127,0.314807,0.468622,0.20817834400000002
2026-01-20 17:47:15.060049,0.119927,0.679427,1.092931533
2026-01-20 17:47:15.072739,0.177966,0.488613,1.473000461
2026-01-20 17:47:15.189225,0.116381,0.630875,2.815579863
2026-01-20 17:47:15.206087,0.146029,0.793957,0.44878757
2026-01-20 17:47:15.339120,0.133018,0.923348,0.9853704010000001
2026-01-20 17:47:15.370013,0.180748,0.744845,1.087746476
2026-01-20 17:47:15.486569,0.116700,0.889074,1.684730077
2026-01-20 17:47:15.538230,0.199126,1.059726,0.658236493
2026-01-20 17:47:15.610378,0.123737,1.000500,1.059278955
2026-01-20 17:47:15.669607,0.130350,1.224193,1.005538934
2026-01-20 17:47:15.874425,0.263864,1.137139,0.496740745
2026-01-20 17:47:15.921223,0.252589,1.410764,0.259457063
2026-01-20 17:47:16.020832,0.146104,1.356154,0.448557192
2026-01-20 17:47:16.127113,0.205949,1.622357,0.636429407
2026-01-20 17:47:16.144746,0.124472,1.477438,2.106047947
2026-01-20 17:47:16.259094,0.114345,1.579103,1.719428047
2026-01-20 17:47:16.283837,0.156712,1.791428,0.836387769
2026-01-20 17:47:16.396716,0.112875,1.924793,1.161213732
2026-01-20 17:47:16.582824,0.323645,1.649555,0.202493473
2026-01-20 17:47:16.592274,0.195560,2.049584,0.6702393130000001
2026-01-20 17:47:16.720083,0.127817,2.211838,1.0254660960000002
2026-01-20 17:47:16.986216,0.403486,1.775772,0.16242447100000001
2026-01-20 17:47:17.069994,0.349619,2.438000,0.18744976700000002
2026-01-20 17:47:17.233107,0.163404,2.682534,0.8021345870000001
2026-01-20 17:47:23.690105,6.703789,0.989448,0.009775964
2026-01-20 17:47:23.854128,0.164115,0.138661,1.597318953
2026-01-20 17:47:23.982854,0.128738,0.279033,2.03625969
2026-01-20 17:47:24.099088,0.116133,0.386604,2.821592484
2026-01-20 17:47:24.216167,0.117174,0.478233,2.2372198610000003
