time,Interval(sec),Latency(sec),Bandwidth(MBits/sec)
2026-01-20 17:44:41.019505,2.016023,1.124737,0.032507565999999995
2026-01-20 17:44:41.158989,0.139202,2.164849,0.470797833
2026-01-20 17:44:41.626321,0.467446,2.455672,0.140200151
2026-01-20 17:44:42.416350,0.790306,3.062043,0.082924842
2026-01-20 17:44:42.617361,0.201015,3.538684,0.652050842
2026-01-20 17:44:42.725119,0.107749,3.687075,0.608228383
2026-01-20 17:44:43.544317,0.819207,4.132977,0.07999931599999999
2026-01-20 17:44:45.074314,1.529991,5.267589,0.042834238999999996
2026-01-20 17:45:15.388134,30.313827,3.084089,0.002161918
2026-01-20 17:45:16.066113,0.677972,0.403730,0.193329518
2026-01-20 17:45:16.222069,0.155976,0.878966,0.42016720500000004
2026-01-20 17:45:16.381013,0.158244,1.029568,0.8282904879999999
2026-01-20 17:45:16.578131,0.197799,1.196601,0.33132624499999996
2026-01-20 17:45:16.689215,0.111036,1.343519,0.590222991
2026-01-20 17:45:18.046016,1.356840,1.052396,0.048300463
2026-01-20 17:45:19.198893,1.152891,1.109226,0.113689846
2026-01-20 17:45:19.381923,0.183033,1.902829,0.7161113020000001
2026-01-20 17:45:20.028982,0.647040,2.310262,0.101285856
2026-01-20 17:45:20.258049,0.229080,2.738383,0.286083464
2026-01-20 17:45:20.719963,0.461872,3.073859,0.14189212599999998
2026-01-20 17:45:21.140047,0.420132,3.502360,0.15598907
2026-01-20 17:45:21.314950,0.174888,3.794094,0.749462513
2026-01-20 17:45:41.899879,20.584927,2.152215,0.0031836890000000004
2026-01-20 17:45:42.043390,0.143404,0.490386,0.914005188
2026-01-20 17:45:42.181013,0.137731,0.626733,1.4274782
2026-01-20 17:45:42.311947,0.130936,0.743840,1.5015580130000001
2026-01-20 17:45:42.447791,0.135736,0.860917,1.448458773
2026-01-20 17:45:42.560008,0.112294,0.972741,1.167221757
2026-01-20 17:45:42.815921,0.255949,1.115658,0.51210202
2026-01-20 17:45:43.926923,1.110999,1.788789,0.058988352
2026-01-20 17:45:44.338408,0.411482,2.474563,0.318536412
2026-01-20 17:45:44.454918,0.116518,2.761465,0.56245387
2026-01-20 17:45:44.626508,0.171251,2.897321,0.765379472
2026-01-20 17:45:44.819965,0.193791,3.059798,0.6763575190000001
2026-01-20 17:45:48.254042,3.434082,2.228518,0.038167988
2026-01-20 17:45:48.416565,0.162530,0.334685,1.209672061
2026-01-20 17:45:48.564005,0.146869,0.474762,0.892441564
2026-01-20 17:45:48.702058,0.138617,0.601339,0.945569447
2026-01-20 17:45:49.375810,0.673751,0.428803,0.097270357
2026-01-20 17:45:49.544809,0.168985,0.253415,1.163464213
2026-01-20 17:45:49.657094,0.112035,0.377677,1.169920114
2026-01-20 17:45:50.067750,0.410927,0.574829,0.318966629
2026-01-20 17:45:50.187684,0.119925,0.865103,1.09294976
2026-01-20 17:45:50.317845,0.130133,0.981591,1.007215695
2026-01-20 17:45:50.642054,0.324133,1.144088,0.6065658230000001
2026-01-20 17:45:50.919687,0.277735,1.446128,0.47193187799999997
2026-01-20 17:45:51.043781,0.123953,1.660884,1.057433059
2026-01-20 17:45:51.148785,0.105149,1.763561,0.623267934
2026-01-20 17:45:51.255570,0.106558,1.857648,1.230053117
2026-01-20 17:45:51.396644,0.141309,1.970943,1.391333885
2026-01-20 17:45:51.502203,0.105535,2.075245,1.2419765950000001
2026-01-20 17:45:51.616715,0.114485,2.180415,1.144883609
2026-01-20 17:45:51.910621,0.293947,2.336474,0.66885527
2026-01-20 17:46:17.330853,25.420230,2.272439,0.005156208000000001
2026-01-20 17:46:23.119753,5.788900,1.626797,0.011320976
2026-01-20 17:46:24.029919,0.910160,1.403860,0.072004922
2026-01-20 17:46:24.232780,0.202860,1.275351,0.323060239
2026-01-20 17:46:25.718931,1.486121,1.467342,0.044098697
2026-01-20 17:46:43.509195,17.790294,1.313068,0.003683806
2026-01-20 17:46:45.366810,1.857622,0.877025,0.035279513
2026-01-20 17:46:45.514307,0.147493,0.769014,1.332998854
2026-01-20 17:46:45.625200,0.110676,0.702293,1.184285663
2026-01-20 17:46:47.474752,1.849765,0.813893,0.035429365
2026-01-20 17:46:47.604150,0.129417,0.918753,1.519182179
2026-01-20 17:46:47.727157,0.122885,0.894730,0.5333116330000001
2026-01-20 17:46:49.455961,1.728921,0.888132,0.037905723
2026-01-20 17:46:49.568006,0.112039,0.911014,0.584939173
2026-01-20 17:46:49.732091,0.163871,0.881801,1.999621654
2026-01-20 17:46:50.117746,0.385627,0.415528,0.169946606
2026-01-20 17:46:50.299239,0.181557,0.077055,2.165799171
2026-01-20 17:46:50.415449,0.116403,0.199841,3.378057267
2026-01-20 17:46:50.524715,0.109154,0.293492,2.401597743
2026-01-20 17:46:50.704799,0.180193,0.405058,1.818494614
2026-01-20 17:46:50.887579,0.182652,0.561765,0.7176050629999999
2026-01-20 17:46:51.003877,0.116095,0.680533,3.3870192510000003
2026-01-20 17:46:51.109323,0.105768,0.812358,1.858860903
2026-01-20 17:46:51.223880,0.114546,0.869673,4.577095665
2026-01-20 17:46:51.327297,0.103429,0.945814,5.069061869
2026-01-20 17:46:51.698348,0.371033,0.967690,0.7065247570000001
2026-01-20 17:46:52.084741,0.386305,0.870512,0.169648335
2026-01-20 17:46:53.029481,0.944849,1.049190,0.13872269499999998
2026-01-20 17:46:53.367794,0.338032,1.272532,0.193875136
2026-01-20 17:46:53.907327,0.539811,1.091452,0.12140545500000001
2026-01-20 17:46:54.314843,0.407500,0.982613,0.16082454000000002
2026-01-20 17:46:56.080444,1.765621,1.194173,0.037117818999999996
2026-01-20 17:46:56.258643,0.178172,1.356069,0.36782434999999997
2026-01-20 17:46:56.487085,0.228448,1.319377,0.286874912
2026-01-20 17:46:56.637581,0.150507,1.318852,0.435434897
2026-01-20 17:46:57.709581,1.072011,1.367612,0.061133701
2026-01-20 17:47:14.449876,16.740268,0.726195,0.003914872
2026-01-20 17:47:14.557029,0.107074,0.109824,0.612062686
2026-01-20 17:47:14.678494,0.121433,0.201001,3.238131315
2026-01-20 17:47:14.894778,0.216411,0.326380,0.605662374
2026-01-20 17:47:15.072739,0.177966,0.488613,1.473000461
2026-01-20 17:47:15.189225,0.116381,0.630875,2.815579863
2026-01-20 17:47:15.339120,0.133018,0.923348,0.9853704010000001
2026-01-20 17:47:15.370013,0.180748,0.744845,1.087746476
2026-01-20 17:47:15.486569,0.116700,0.889074,1.684730077
2026-01-20 17:47:15.538230,0.199126,1.059726,0.658236493
2026-01-20 17:47:15.610378,0.123737,1.000500,1.059278955
2026-01-20 17:47:15.874425,0.263864,1.137139,0.496740745
2026-01-20 17:47:16.020832,0.146104,1.356154,0.448557192
2026-01-20 17:47:16.144746,0.124472,1.477438,2.106047947
2026-01-20 17:47:16.259094,0.114345,1.579103,1.719428047
2026-01-20 17:47:16.582824,0.323645,1.649555,0.202493473
2026-01-20 17:47:16.986216,0.403486,1.775772,0.16242447100000001
2026-01-20 17:47:23.690105,6.703789,0.989448,0.009775964
2026-01-20 17:47:23.854128,0.164115,0.138661,1.597318953
2026-01-20 17:47:23.982854,0.128738,0.279033,2.03625969
2026-01-20 17:47:24.099088,0.116133,0.386604,2.821592484
2026-01-20 17:47:24.216167,0.117174,0.478233,2.2372198610000003
2026-01-20 17:47:24.323156,0.106988,0.570851,2.4502187159999997
2026-01-20 17:47:24.436182,0.113035,0.659183,2.8989251119999997
2026-01-20 17:47:24.598706,0.161557,0.758437,1.622609977
2026-01-20 17:47:24.701326,0.103577,0.875538,2.530909372
2026-01-20 17:47:24.912694,0.211353,0.999553,0.620156799
2026-01-20 17:47:25.030651,0.117842,1.165030,1.668403455
2026-01-20 17:47:28.569135,3.538601,1.006536,0.074081254
2026-01-20 17:47:28.712708,0.143575,0.110251,1.825833188
2026-01-20 17:47:28.866083,0.153386,0.243366,0.42726194
2026-01-20 17:47:28.978143,0.112040,0.362368,1.754801856
2026-01-20 17:47:29.197988,0.219864,0.475284,1.192300695
2026-01-20 17:47:29.376594,0.178602,0.632051,1.46775512
2026-01-20 17:47:29.510520,0.133928,0.800935,1.957350218
2026-01-20 17:47:29.715578,0.205058,0.943012,0.958792147
2026-01-20 17:47:29.910161,0.194555,1.144330,0.33685076199999997
2026-01-20 17:47:30.081033,0.170904,1.294673,1.533866966
2026-01-20 17:47:30.186094,0.105060,1.437065,1.8713877780000001
2026-01-20 17:47:30.313883,0.127617,1.530147,2.054146391
2026-01-20 17:47:30.421021,0.107299,1.629238,1.832337673
2026-01-20 17:47:30.535014,0.114012,1.738336,1.724450058
2026-01-20 17:47:47.153016,16.617992,0.920555,0.0039436770000000005
2026-01-20 17:47:47.270087,0.117072,0.116832,1.679376794
2026-01-20 17:47:47.554871,0.284674,0.283451,0.46042842
2026-01-20 17:47:48.868116,1.313338,0.756014,0.14970099099999998
2026-01-20 17:47:49.164704,0.296605,1.768011,0.44190758799999996
2026-01-20 17:47:49.334647,0.169950,1.996113,0.7712386
2026-01-20 17:47:49.439571,0.104902,2.128131,1.249470935
2026-01-20 17:47:49.731671,0.292122,2.322151,0.22434462300000002
2026-01-20 17:47:50.053595,0.321916,2.616668,0.203581058
2026-01-20 17:47:50.156579,0.102982,2.820850,1.272766114
2026-01-20 17:48:19.662157,29.505574,1.863247,0.00222114
2026-01-20 17:48:22.091952,2.429802,2.038308,0.026971745
2026-01-20 17:48:22.470017,0.378103,3.394760,0.173328432
2026-01-20 17:48:24.097375,1.626980,4.364853,0.040280766
