[2026-01-28 16:56:03.377969] Looking for connection...
[2026-01-28 16:56:05.360322] Looking for connection...
[2026-01-28 16:56:07.363375] Looking for connection...
[2026-01-28 16:56:09.367388] Looking for connection...
[2026-01-28 16:56:10.140274] Got it
[2026-01-28 16:56:10.142255] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-28 16:56:10.979623] 64 bytes from 172.16.0.1: icmp_seq=1 ttl=64 time=837 ms
[2026-01-28 16:56:11.122278] 64 bytes from 172.16.0.1: icmp_seq=2 ttl=64 time=777 ms
[2026-01-28 16:56:11.621416] 64 bytes from 172.16.0.1: icmp_seq=5 ttl=64 time=660 ms
[2026-01-28 16:56:11.911505] 64 bytes from 172.16.0.1: icmp_seq=6 ttl=64 time=749 ms
[2026-01-28 16:56:12.127339] 64 bytes from 172.16.0.1: icmp_seq=7 ttl=64 time=758 ms
[2026-01-28 16:56:12.298279] 64 bytes from 172.16.0.1: icmp_seq=8 ttl=64 time=725 ms
[2026-01-28 16:56:12.650303] 64 bytes from 172.16.0.1: icmp_seq=10 ttl=64 time=677 ms
[2026-01-28 16:56:14.150374] 64 bytes from 172.16.0.1: icmp_seq=18 ttl=64 time=557 ms
[2026-01-28 16:56:15.165724] 64 bytes from 172.16.0.1: icmp_seq=22 ttl=64 time=760 ms
[2026-01-28 16:56:16.204248] 64 bytes from 172.16.0.1: icmp_seq=27 ttl=64 time=770 ms
[2026-01-28 16:56:16.715952] 64 bytes from 172.16.0.1: icmp_seq=33 ttl=64 time=57.4 ms
[2026-01-28 16:56:17.113845] 64 bytes from 172.16.0.1: icmp_seq=34 ttl=64 time=255 ms
[2026-01-28 16:56:17.320965] 64 bytes from 172.16.0.1: icmp_seq=35 ttl=64 time=260 ms
[2026-01-28 16:56:17.532829] 64 bytes from 172.16.0.1: icmp_seq=36 ttl=64 time=271 ms
[2026-01-28 16:56:18.244530] 64 bytes from 172.16.0.1: icmp_seq=39 ttl=64 time=379 ms
[2026-01-28 16:56:18.589418] 64 bytes from 172.16.0.1: icmp_seq=41 ttl=64 time=319 ms
[2026-01-28 16:56:18.980961] 64 bytes from 172.16.0.1: icmp_seq=42 ttl=64 time=504 ms
[2026-01-28 16:56:19.179969] 64 bytes from 172.16.0.1: icmp_seq=43 ttl=64 time=502 ms
[2026-01-28 16:56:19.283931] 64 bytes from 172.16.0.1: icmp_seq=44 ttl=64 time=399 ms
[2026-01-28 16:56:20.260753] 64 bytes from 172.16.0.1: icmp_seq=49 ttl=64 time=355 ms
[2026-01-28 16:56:21.043492] 64 bytes from 172.16.0.1: icmp_seq=52 ttl=64 time=530 ms
[2026-01-28 16:56:21.145741] 64 bytes from 172.16.0.1: icmp_seq=53 ttl=64 time=428 ms
[2026-01-28 16:56:21.443808] 64 bytes from 172.16.0.1: icmp_seq=55 ttl=64 time=322 ms
[2026-01-28 16:56:21.958756] 64 bytes from 172.16.0.1: icmp_seq=57 ttl=64 time=436 ms
[2026-01-28 16:56:22.212619] 64 bytes from 172.16.0.1: icmp_seq=58 ttl=64 time=487 ms
[2026-01-28 16:56:22.566255] 64 bytes from 172.16.0.1: icmp_seq=60 ttl=64 time=432 ms
[2026-01-28 16:56:22.690339] 64 bytes from 172.16.0.1: icmp_seq=61 ttl=64 time=355 ms
[2026-01-28 16:56:22.969904] 64 bytes from 172.16.0.1: icmp_seq=62 ttl=64 time=432 ms
[2026-01-28 16:56:23.132132] 64 bytes from 172.16.0.1: icmp_seq=63 ttl=64 time=394 ms
[2026-01-28 16:56:23.256781] 64 bytes from 172.16.0.1: icmp_seq=64 ttl=64 time=311 ms
[2026-01-28 16:56:24.308970] 64 bytes from 172.16.0.1: icmp_seq=69 ttl=64 time=343 ms
[2026-01-28 16:56:24.707857] 64 bytes from 172.16.0.1: icmp_seq=71 ttl=64 time=338 ms
[2026-01-28 16:56:24.947864] 64 bytes from 172.16.0.1: icmp_seq=72 ttl=64 time=374 ms
[2026-01-28 16:56:25.353864] 64 bytes from 172.16.0.1: icmp_seq=74 ttl=64 time=381 ms
[2026-01-28 16:56:25.562868] 64 bytes from 172.16.0.1: icmp_seq=75 ttl=64 time=390 ms
[2026-01-28 16:56:25.701918] 64 bytes from 172.16.0.1: icmp_seq=76 ttl=64 time=328 ms
[2026-01-28 16:56:25.984822] 64 bytes from 172.16.0.1: icmp_seq=77 ttl=64 time=410 ms
[2026-01-28 16:56:26.312800] 64 bytes from 172.16.0.1: icmp_seq=79 ttl=64 time=335 ms
[2026-01-28 16:56:26.559988] 64 bytes from 172.16.0.1: icmp_seq=80 ttl=64 time=382 ms
[2026-01-28 16:56:26.883765] 64 bytes from 172.16.0.1: icmp_seq=81 ttl=64 time=504 ms
[2026-01-28 16:56:27.042026] 64 bytes from 172.16.0.1: icmp_seq=82 ttl=64 time=462 ms
[2026-01-28 16:56:27.337779] 64 bytes from 172.16.0.1: icmp_seq=84 ttl=64 time=353 ms
[2026-01-28 16:56:27.485961] 64 bytes from 172.16.0.1: icmp_seq=85 ttl=64 time=301 ms
[2026-01-28 16:56:27.692772] 64 bytes from 172.16.0.1: icmp_seq=86 ttl=64 time=307 ms
[2026-01-28 16:56:28.514805] 64 bytes from 172.16.0.1: icmp_seq=90 ttl=64 time=321 ms
[2026-01-28 16:56:29.048805] 64 bytes from 172.16.0.1: icmp_seq=92 ttl=64 time=447 ms
[2026-01-28 16:56:29.163857] 64 bytes from 172.16.0.1: icmp_seq=93 ttl=64 time=359 ms
[2026-01-28 16:56:29.415827] 64 bytes from 172.16.0.1: icmp_seq=94 ttl=64 time=407 ms
[2026-01-28 16:56:29.908977] 64 bytes from 172.16.0.1: icmp_seq=96 ttl=64 time=495 ms
[2026-01-28 16:56:30.920815] 64 bytes from 172.16.0.1: icmp_seq=101 ttl=64 time=490 ms
[2026-01-28 16:56:31.181110] 64 bytes from 172.16.0.1: icmp_seq=103 ttl=64 time=344 ms
[2026-01-28 16:56:31.379011] 64 bytes from 172.16.0.1: icmp_seq=104 ttl=64 time=341 ms
[2026-01-28 16:56:31.569915] 64 bytes from 172.16.0.1: icmp_seq=105 ttl=64 time=332 ms
[2026-01-28 16:56:32.377813] 64 bytes from 172.16.0.1: icmp_seq=109 ttl=64 time=332 ms
[2026-01-28 16:56:32.872804] 64 bytes from 172.16.0.1: icmp_seq=111 ttl=64 time=423 ms
[2026-01-28 16:56:33.129972] 64 bytes from 172.16.0.1: icmp_seq=112 ttl=64 time=477 ms
[2026-01-28 16:56:33.291369] 64 bytes from 172.16.0.1: icmp_seq=113 ttl=64 time=433 ms
[2026-01-28 16:56:33.438690] 64 bytes from 172.16.0.1: icmp_seq=114 ttl=64 time=381 ms
[2026-01-28 16:56:33.598778] 64 bytes from 172.16.0.1: icmp_seq=115 ttl=64 time=339 ms
[2026-01-28 16:56:34.145409] 64 bytes from 172.16.0.1: icmp_seq=117 ttl=64 time=482 ms
[2026-01-28 16:56:35.269824] 64 bytes from 172.16.0.1: icmp_seq=120 ttl=64 time=999 ms
[2026-01-28 16:56:35.651989] 64 bytes from 172.16.0.1: icmp_seq=123 ttl=64 time=767 ms
[2026-01-28 16:56:36.723866] 64 bytes from 172.16.0.1: icmp_seq=128 ttl=64 time=822 ms
[2026-01-28 16:56:37.675969] 64 bytes from 172.16.0.1: icmp_seq=132 ttl=64 time=959 ms
[2026-01-28 16:56:37.866055] 64 bytes from 172.16.0.1: icmp_seq=133 ttl=64 time=948 ms
[2026-01-28 16:56:38.554068] 64 bytes from 172.16.0.1: icmp_seq=137 ttl=64 time=824 ms
[2026-01-28 16:56:39.032924] 64 bytes from 172.16.0.1: icmp_seq=139 ttl=64 time=900 ms
[2026-01-28 16:56:40.451592] 64 bytes from 172.16.0.1: icmp_seq=146 ttl=64 time=894 ms
[2026-01-28 16:56:40.865730] 64 bytes from 172.16.0.1: icmp_seq=148 ttl=64 time=900 ms
[2026-01-28 16:56:43.590833] 64 bytes from 172.16.0.1: icmp_seq=161 ttl=64 time=974 ms
[2026-01-28 16:56:44.137732] 64 bytes from 172.16.0.1: icmp_seq=164 ttl=64 time=908 ms
[2026-01-28 16:56:44.362746] 64 bytes from 172.16.0.1: icmp_seq=165 ttl=64 time=925 ms
[2026-01-28 16:56:46.475715] 64 bytes from 172.16.0.1: icmp_seq=176 ttl=64 time=790 ms
[2026-01-28 16:56:46.991622] 64 bytes from 172.16.0.1: icmp_seq=178 ttl=64 time=894 ms
[2026-01-28 16:56:47.655604] 64 bytes from 172.16.0.1: icmp_seq=181 ttl=64 time=950 ms
[2026-01-28 16:56:48.037106] 64 bytes from 172.16.0.1: icmp_seq=183 ttl=64 time=922 ms
[2026-01-28 16:56:50.390212] 64 bytes from 172.16.0.1: icmp_seq=196 ttl=64 time=613 ms
[2026-01-28 16:56:51.580232] 64 bytes from 172.16.0.1: icmp_seq=200 ttl=64 time=987 ms
[2026-01-28 16:56:52.139386] 64 bytes from 172.16.0.1: icmp_seq=203 ttl=64 time=929 ms
[2026-01-28 16:56:52.271209] 64 bytes from 172.16.0.1: icmp_seq=204 ttl=64 time=858 ms
[2026-01-28 16:56:52.590212] 64 bytes from 172.16.0.1: icmp_seq=206 ttl=64 time=773 ms
[2026-01-28 16:56:54.858677] 64 bytes from 172.16.0.1: icmp_seq=215 ttl=64 time=1209 ms
[2026-01-28 16:56:55.911359] 64 bytes from 172.16.0.1: icmp_seq=220 ttl=64 time=1242 ms
[2026-01-28 16:56:56.121567] 64 bytes from 172.16.0.1: icmp_seq=222 ttl=64 time=1052 ms
[2026-01-28 16:57:00.135672] 64 bytes from 172.16.0.1: icmp_seq=242 ttl=64 time=982 ms
[2026-01-28 16:57:05.242541] 64 bytes from 172.16.0.1: icmp_seq=263 ttl=64 time=1329 ms
[2026-01-28 16:57:05.560620] 64 bytes from 172.16.0.1: icmp_seq=264 ttl=64 time=1443 ms
[2026-01-28 16:57:06.603621] 64 bytes from 172.16.0.1: icmp_seq=270 ttl=64 time=1249 ms
[2026-01-28 16:57:11.009681] 64 bytes from 172.16.0.1: icmp_seq=289 ttl=64 time=1620 ms
[2026-01-28 16:57:11.523644] 64 bytes from 172.16.0.1: icmp_seq=292 ttl=64 time=1522 ms
[2026-01-28 16:57:11.891525] 64 bytes from 172.16.0.1: icmp_seq=294 ttl=64 time=1478 ms
[2026-01-28 16:57:17.592529] 64 bytes from 172.16.0.1: icmp_seq=321 ttl=64 time=1635 ms
[2026-01-28 16:57:18.679008] 64 bytes from 172.16.0.1: icmp_seq=326 ttl=64 time=1701 ms
[2026-01-28 16:57:19.416660] 64 bytes from 172.16.0.1: icmp_seq=329 ttl=64 time=1824 ms
[2026-01-28 16:57:20.000692] 64 bytes from 172.16.0.1: icmp_seq=332 ttl=64 time=1787 ms
[2026-01-28 16:57:20.926585] 64 bytes from 172.16.0.1: icmp_seq=336 ttl=64 time=1893 ms
[2026-01-28 16:57:22.237919] 64 bytes from 172.16.0.1: icmp_seq=343 ttl=64 time=1780 ms
[2026-01-28 16:57:23.197054] 64 bytes from 172.16.0.1: icmp_seq=348 ttl=64 time=1711 ms
[2026-01-28 16:57:23.450883] 64 bytes from 172.16.0.1: icmp_seq=349 ttl=64 time=1759 ms
[2026-01-28 16:57:25.243539] 64 bytes from 172.16.0.1: icmp_seq=357 ttl=64 time=1925 ms
[2026-01-28 16:57:25.638676] 64 bytes from 172.16.0.1: icmp_seq=359 ttl=64 time=1917 ms
[2026-01-28 16:57:29.219499] 64 bytes from 172.16.0.1: icmp_seq=377 ttl=64 time=1822 ms
[2026-01-28 16:57:31.900605] 64 bytes from 172.16.0.1: icmp_seq=391 ttl=64 time=1639 ms
[2026-01-28 16:57:33.441766] 64 bytes from 172.16.0.1: icmp_seq=398 ttl=64 time=1736 ms
[2026-01-28 16:57:35.366452] 64 bytes from 172.16.0.1: icmp_seq=412 ttl=64 time=793 ms
[2026-01-28 16:57:36.629134] 64 bytes from 172.16.0.1: icmp_seq=415 ttl=64 time=1444 ms
[2026-01-28 16:57:37.338751] 64 bytes from 172.16.0.1: icmp_seq=417 ttl=64 time=1749 ms
[2026-01-28 16:57:38.084289] 64 bytes from 172.16.0.1: icmp_seq=420 ttl=64 time=1867 ms
[2026-01-28 16:57:38.292046] 64 bytes from 172.16.0.1: icmp_seq=421 ttl=64 time=1865 ms
[2026-01-28 16:57:39.008711] 64 bytes from 172.16.0.1: icmp_seq=425 ttl=64 time=1763 ms
[2026-01-28 16:57:40.239137] 64 bytes from 172.16.0.1: icmp_seq=430 ttl=64 time=1973 ms
[2026-01-28 16:57:41.738546] 64 bytes from 172.16.0.1: icmp_seq=437 ttl=64 time=2041 ms
[2026-01-28 16:57:42.965126] 64 bytes from 172.16.0.1: icmp_seq=443 ttl=64 time=2030 ms
[2026-01-28 16:57:43.872117] 64 bytes from 172.16.0.1: icmp_seq=446 ttl=64 time=2319 ms
[2026-01-28 16:57:45.467478] 64 bytes from 172.16.0.1: icmp_seq=453 ttl=64 time=2474 ms
[2026-01-28 16:57:50.447982] 64 bytes from 172.16.0.1: icmp_seq=479 ttl=64 time=2097 ms
[2026-01-28 16:57:51.906116] 64 bytes from 172.16.0.1: icmp_seq=482 ttl=64 time=2940 ms
[2026-01-28 16:57:57.511522] 64 bytes from 172.16.0.1: icmp_seq=506 ttl=64 time=3614 ms
[2026-01-28 16:58:04.940353] 64 bytes from 172.16.0.1: icmp_seq=538 ttl=64 time=4447 ms
[2026-01-28 16:58:10.020080] 64 bytes from 172.16.0.1: icmp_seq=562 ttl=64 time=4575 ms
[2026-01-28 16:58:12.381189] 64 bytes from 172.16.0.1: icmp_seq=573 ttl=64 time=4667 ms
[2026-01-28 16:58:15.976160] 64 bytes from 172.16.0.1: icmp_seq=592 ttl=64 time=4378 ms
[2026-01-28 16:58:17.191090] 64 bytes from 172.16.0.1: icmp_seq=598 ttl=64 time=4365 ms
[2026-01-28 16:58:23.903619] 64 bytes from 172.16.0.1: icmp_seq=628 ttl=64 time=4910 ms
[2026-01-28 16:58:26.451391] 64 bytes from 172.16.0.1: icmp_seq=642 ttl=64 time=4570 ms
[2026-01-28 16:58:27.026516] 64 bytes from 172.16.0.1: icmp_seq=645 ttl=64 time=4529 ms
[2026-01-28 16:58:40.131248] 64 bytes from 172.16.0.1: icmp_seq=707 ttl=64 time=4918 ms
[2026-01-28 16:58:43.035203] 64 bytes from 172.16.0.1: icmp_seq=722 ttl=64 time=4742 ms
[2026-01-28 16:58:43.513381] 64 bytes from 172.16.0.1: icmp_seq=725 ttl=64 time=4604 ms
[2026-01-28 16:58:45.953553] 64 bytes from 172.16.0.1: icmp_seq=738 ttl=64 time=4372 ms
[2026-01-28 16:58:48.090318] 64 bytes from 172.16.0.1: icmp_seq=748 ttl=64 time=4468 ms
[2026-01-28 16:58:49.050417] 64 bytes from 172.16.0.1: icmp_seq=753 ttl=64 time=4401 ms
[2026-01-28 16:58:50.872118] 64 bytes from 172.16.0.1: icmp_seq=778 ttl=64 time=1115 ms
[2026-01-28 16:58:54.146296] 64 bytes from 172.16.0.1: icmp_seq=779 ttl=64 time=4185 ms
[2026-01-28 16:59:02.269482] 64 bytes from 172.16.0.1: icmp_seq=819 ttl=64 time=4116 ms
[2026-01-28 16:59:02.458891] 64 bytes from 172.16.0.1: icmp_seq=820 ttl=64 time=4102 ms
[2026-01-28 16:59:04.925920] 64 bytes from 172.16.0.1: icmp_seq=836 ttl=64 time=3297 ms
[2026-01-28 16:59:07.881106] 64 bytes from 172.16.0.1: icmp_seq=851 ttl=64 time=3188 ms
[2026-01-28 16:59:13.142121] 64 bytes from 172.16.0.1: icmp_seq=880 ttl=64 time=2516 ms
[2026-01-28 16:59:13.314894] 64 bytes from 172.16.0.1: icmp_seq=881 ttl=64 time=2482 ms
[2026-01-28 16:59:14.495920] 64 bytes from 172.16.0.1: icmp_seq=888 ttl=64 time=2223 ms
[2026-01-28 16:59:15.151840] 64 bytes from 172.16.0.1: icmp_seq=892 ttl=64 time=2059 ms
[2026-01-28 16:59:19.381305] 64 bytes from 172.16.0.1: icmp_seq=912 ttl=64 time=2196 ms
[2026-01-28 16:59:21.003754] 64 bytes from 172.16.0.1: icmp_seq=921 ttl=64 time=1974 ms
[2026-01-28 16:59:21.305809] 64 bytes from 172.16.0.1: icmp_seq=923 ttl=64 time=1872 ms
[2026-01-28 16:59:23.289894] 64 bytes from 172.16.0.1: icmp_seq=933 ttl=64 time=1814 ms
[2026-01-28 16:59:25.216798] 64 bytes from 172.16.0.1: icmp_seq=941 ttl=64 time=2100 ms
[2026-01-28 16:59:25.468101] 64 bytes from 172.16.0.1: icmp_seq=942 ttl=64 time=2150 ms
[2026-01-28 16:59:27.643798] 64 bytes from 172.16.0.1: icmp_seq=955 ttl=64 time=1670 ms
[2026-01-28 16:59:30.624392] 64 bytes from 172.16.0.1: icmp_seq=969 ttl=64 time=1791 ms
[2026-01-28 16:59:32.699993] 64 bytes from 172.16.0.1: icmp_seq=977 ttl=64 time=2223 ms
[2026-01-28 16:59:36.062823] 64 bytes from 172.16.0.1: icmp_seq=996 ttl=64 time=1705 ms
[2026-01-28 16:59:36.959779] 64 bytes from 172.16.0.1: icmp_seq=1000 ttl=64 time=1781 ms
[2026-01-28 16:59:37.960883] 64 bytes from 172.16.0.1: icmp_seq=1005 ttl=64 time=1755 ms
