[2026-01-29 13:43:16.115223] Looking for connection...
[2026-01-29 13:43:16.115303] Got it
[2026-01-29 13:43:16.115323] PING 172.16.0.1 (172.16.0.1) 56(84) bytes of data.
[2026-01-29 13:43:16.148533] 64 bytes from 172.16.0.1: icmp_seq=1 ttl=64 time=44.1 ms
[2026-01-29 13:43:16.395100] 64 bytes from 172.16.0.1: icmp_seq=2 ttl=64 time=90.4 ms
[2026-01-29 13:43:19.387127] 64 bytes from 172.16.0.1: icmp_seq=11 ttl=64 time=1250 ms
[2026-01-29 13:43:25.585393] 64 bytes from 172.16.0.1: icmp_seq=42 ttl=64 time=1040 ms
[2026-01-29 13:43:26.003225] 64 bytes from 172.16.0.1: icmp_seq=44 ttl=64 time=1050 ms
[2026-01-29 13:43:31.076161] 64 bytes from 172.16.0.1: icmp_seq=72 ttl=64 time=391 ms
[2026-01-29 13:43:31.727125] 64 bytes from 172.16.0.1: icmp_seq=74 ttl=64 time=637 ms
[2026-01-29 13:43:33.428130] 64 bytes from 172.16.0.1: icmp_seq=82 ttl=64 time=711 ms
[2026-01-29 13:43:34.701237] 64 bytes from 172.16.0.1: icmp_seq=89 ttl=64 time=552 ms
[2026-01-29 13:43:35.463283] 64 bytes from 172.16.0.1: icmp_seq=91 ttl=64 time=898 ms
[2026-01-29 13:43:38.214669] 64 bytes from 172.16.0.1: icmp_seq=104 ttl=64 time=993 ms
[2026-01-29 13:43:40.480168] 64 bytes from 172.16.0.1: icmp_seq=117 ttl=64 time=599 ms
[2026-01-29 13:43:40.717032] 64 bytes from 172.16.0.1: icmp_seq=118 ttl=64 time=632 ms
[2026-01-29 13:43:41.954253] 64 bytes from 172.16.0.1: icmp_seq=124 ttl=64 time=644 ms
[2026-01-29 13:43:44.650234] 64 bytes from 172.16.0.1: icmp_seq=135 ttl=64 time=1081 ms
[2026-01-29 13:43:46.858035] 64 bytes from 172.16.0.1: icmp_seq=146 ttl=64 time=1032 ms
[2026-01-29 13:43:53.166148] 64 bytes from 172.16.0.1: icmp_seq=174 ttl=64 time=1589 ms
[2026-01-29 13:43:54.476015] 64 bytes from 172.16.0.1: icmp_seq=181 ttl=64 time=1463 ms
[2026-01-29 13:43:56.301007] 64 bytes from 172.16.0.1: icmp_seq=190 ttl=64 time=1452 ms
[2026-01-29 13:43:57.295055] 64 bytes from 172.16.0.1: icmp_seq=195 ttl=64 time=1426 ms
[2026-01-29 13:43:57.602049] 64 bytes from 172.16.0.1: icmp_seq=197 ttl=64 time=1321 ms
[2026-01-29 13:43:59.275983] 64 bytes from 172.16.0.1: icmp_seq=205 ttl=64 time=1363 ms
[2026-01-29 13:44:04.631689] 64 bytes from 172.16.0.1: icmp_seq=228 ttl=64 time=1950 ms
[2026-01-29 13:44:06.620688] 64 bytes from 172.16.0.1: icmp_seq=238 ttl=64 time=1898 ms
[2026-01-29 13:44:06.997210] 64 bytes from 172.16.0.1: icmp_seq=240 ttl=64 time=1852 ms
[2026-01-29 13:44:07.596162] 64 bytes from 172.16.0.1: icmp_seq=244 ttl=64 time=1635 ms
[2026-01-29 13:44:08.015888] 64 bytes from 172.16.0.1: icmp_seq=245 ttl=64 time=1850 ms
[2026-01-29 13:44:10.604245] 64 bytes from 172.16.0.1: icmp_seq=258 ttl=64 time=1786 ms
[2026-01-29 13:44:12.741442] 64 bytes from 172.16.0.1: icmp_seq=267 ttl=64 time=2074 ms
[2026-01-29 13:44:12.933516] 64 bytes from 172.16.0.1: icmp_seq=268 ttl=64 time=2064 ms
[2026-01-29 13:44:17.534874] 64 bytes from 172.16.0.1: icmp_seq=290 ttl=64 time=2157 ms
[2026-01-29 13:44:18.704906] 64 bytes from 172.16.0.1: icmp_seq=296 ttl=64 time=2103 ms
[2026-01-29 13:44:21.997935] 64 bytes from 172.16.0.1: icmp_seq=311 ttl=64 time=2332 ms
[2026-01-29 13:44:25.142931] 64 bytes from 172.16.0.1: icmp_seq=327 ttl=64 time=2205 ms
