time,num,Longitude,Latitude,Altitude,Pitch,Yaw,Roll,VelocityX,VelocityY,VelocityZ,BatteryVolts,GPSFix,NumberOfSatellites,ID,Interval(sec),Transfer(MBytes),Bandwidth(MBits/sec)
2026-01-29 13:43:17.765007,21.0000000000,-78.6962747000,35.7273023000,-0.0170000000,0.0010306370,0.0231410861,0.0012194997,-0.0100000000,0.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.4915725224,4.3671181869
2026-01-29 13:43:18.771466,22.0000000000,-78.6962747000,35.7273023000,-0.0170000000,0.0010339121,0.0231369101,0.0012244338,-0.0100000000,0.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.5294887975,4.8796907647
2026-01-29 13:43:19.774112,23.0000000000,-78.6962747000,35.7273023000,-0.0170000000,0.0010093753,0.0231187809,0.0012102856,-0.0100000000,0.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.4329518093,4.5771810378
2026-01-29 13:43:20.775215,24.0000000000,-78.6962747000,35.7273023000,-0.0170000000,0.0010072786,0.0231001731,0.0012126884,-0.0100000000,0.0100000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.4363182701,5.4841372543
2026-01-29 13:43:22.747673,25.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0011364593,0.0230701473,0.0013646358,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.1901176020,6.6439577984
2026-01-29 13:43:23.749142,26.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0014076454,0.0230703726,0.0016273325,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.0947013126,5.2863406375
2026-01-29 13:43:24.755227,27.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0017069887,0.0230940823,0.0019235222,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.6469908484,4.0882269937
2026-01-29 13:43:25.760776,28.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0020307065,0.0231291763,0.0022485869,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7028601713,4.3300401980
2026-01-29 13:43:26.766608,29.0000000000,-78.6962747000,35.7273023000,0.0020000000,0.0023656324,0.0231974218,0.0025636195,0.0000000000,0.0000000000,0.0000000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.6472281122,3.7809282595
2026-01-29 13:43:27.768335,30.0000000000,-78.6962747000,35.7273023000,0.4330000000,-0.0024860685,0.0231693033,-0.0024742975,0.0000000000,0.0000000000,-1.2400000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.8771456241,4.6278956653
2026-01-29 13:43:28.774390,31.0000000000,-78.6962749000,35.7273024000,2.0760000000,0.0030764623,0.0227865390,0.0034247662,0.0000000000,0.0000000000,-1.9700000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7799163307,6.2646076667
2026-01-29 13:43:29.781717,32.0000000000,-78.6962750000,35.7273025000,4.4940000000,0.0039392067,0.0047771335,0.0043280204,-0.0100000000,0.0100000000,-2.5100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,1.9552201220,5.9457631230
2026-01-29 13:43:30.782751,33.0000000000,-78.6962750000,35.7273025000,7.0390000000,0.0037742034,0.0043765507,0.0036775931,-0.0100000000,0.0200000000,-2.4100000000,12.5870000000,6.0000000000,10.0000000000,5.0000000000,,2.7327105178,5.1532543183
